,Filename,Size in,Depth in
urf3_279.qasm,benchmarking/ibmq/urf3_279.qasm,125394,70704
one-two-three-v3_101.qasm,benchmarking/ibmq/one-two-three-v3_101.qasm,102,42
4mod5-v0_20.qasm,benchmarking/ibmq/4mod5-v0_20.qasm,52,14
mod8-10_177.qasm,benchmarking/ibmq/mod8-10_177.qasm,472,253
ising_model_13.qasm,benchmarking/ibmq/ising_model_13.qasm,665,73
sf_276.qasm,benchmarking/ibmq/sf_276.qasm,810,437
mlp4_245.qasm,benchmarking/ibmq/mlp4_245.qasm,18884,10330
cm85a_209.qasm,benchmarking/ibmq/cm85a_209.qasm,11446,6376
cm42a_207.qasm,benchmarking/ibmq/cm42a_207.qasm,1808,942
4gt12-v1_89.qasm,benchmarking/ibmq/4gt12-v1_89.qasm,260,132
alu-v0_27.qasm,benchmarking/ibmq/alu-v0_27.qasm,68,23
pm1_249.qasm,benchmarking/ibmq/pm1_249.qasm,1808,942
mod5mils_65.qasm,benchmarking/ibmq/mod5mils_65.qasm,67,23
9symml_195.qasm,benchmarking/ibmq/9symml_195.qasm,34913,19237
mod10_171.qasm,benchmarking/ibmq/mod10_171.qasm,276,141
ex1_226.qasm,benchmarking/ibmq/ex1_226.qasm,39,7
ex-1_166.qasm,benchmarking/ibmq/ex-1_166.qasm,51,14
decod24-v1_41.qasm,benchmarking/ibmq/decod24-v1_41.qasm,117,52
4gt12-v0_88.qasm,benchmarking/ibmq/4gt12-v0_88.qasm,226,110
rd53_138.qasm,benchmarking/ibmq/rd53_138.qasm,164,58
4gt4-v0_79.qasm,benchmarking/ibmq/4gt4-v0_79.qasm,263,134
max46_240.qasm,benchmarking/ibmq/max46_240.qasm,27158,14259
alu-v3_34.qasm,benchmarking/ibmq/alu-v3_34.qasm,84,32
3_17_13.qasm,benchmarking/ibmq/3_17_13.qasm,68,24
decod24-v3_45.qasm,benchmarking/ibmq/decod24-v3_45.qasm,182,86
4gt4-v0_80.qasm,benchmarking/ibmq/4gt4-v0_80.qasm,211,103
mod8-10_178.qasm,benchmarking/ibmq/mod8-10_178.qasm,374,195
hwb7_59.qasm,benchmarking/ibmq/hwb7_59.qasm,24411,13439
hwb4_49.qasm,benchmarking/ibmq/hwb4_49.qasm,265,136
root_255.qasm,benchmarking/ibmq/root_255.qasm,17191,8837
4mod5-bdd_287.qasm,benchmarking/ibmq/4mod5-bdd_287.qasm,102,43
urf5_158.qasm,benchmarking/ibmq/urf5_158.qasm,164448,89147
4gt11_84.qasm,benchmarking/ibmq/4gt11_84.qasm,50,13
decod24-v0_38.qasm,benchmarking/ibmq/decod24-v0_38.qasm,83,32
ising_model_10.qasm,benchmarking/ibmq/ising_model_10.qasm,512,72
4mod5-v0_19.qasm,benchmarking/ibmq/4mod5-v0_19.qasm,67,23
4gt4-v1_74.qasm,benchmarking/ibmq/4gt4-v1_74.qasm,305,156
4mod5-v1_22.qasm,benchmarking/ibmq/4mod5-v1_22.qasm,53,14
4gt12-v0_87.qasm,benchmarking/ibmq/4gt12-v0_87.qasm,279,133
alu-v1_29.qasm,benchmarking/ibmq/alu-v1_29.qasm,69,24
4gt12-v0_86.qasm,benchmarking/ibmq/4gt12-v0_86.qasm,283,137
alu-v1_28.qasm,benchmarking/ibmq/alu-v1_28.qasm,69,24
4mod5-v1_23.qasm,benchmarking/ibmq/4mod5-v1_23.qasm,101,43
hwb9_119.qasm,benchmarking/ibmq/hwb9_119.qasm,207807,116201
sf_274.qasm,benchmarking/ibmq/sf_274.qasm,813,438
life_238.qasm,benchmarking/ibmq/life_238.qasm,22477,12513
4mod5-v0_18.qasm,benchmarking/ibmq/4mod5-v0_18.qasm,101,42
majority_239.qasm,benchmarking/ibmq/majority_239.qasm,644,346
hwb5_53.qasm,benchmarking/ibmq/hwb5_53.qasm,1368,760
ham7_104.qasm,benchmarking/ibmq/ham7_104.qasm,352,187
urf2_152.qasm,benchmarking/ibmq/urf2_152.qasm,80512,44102
rd53_135.qasm,benchmarking/ibmq/rd53_135.qasm,328,161
rd32_270.qasm,benchmarking/ibmq/rd32_270.qasm,116,49
cm152a_212.qasm,benchmarking/ibmq/cm152a_212.qasm,1253,686
4gt10-v1_81.qasm,benchmarking/ibmq/4gt10-v1_81.qasm,180,86
qft_10.qasm,benchmarking/ibmq/qft_10.qasm,232,65
rd32-v0_66.qasm,benchmarking/ibmq/rd32-v0_66.qasm,66,22
rd53_251.qasm,benchmarking/ibmq/rd53_251.qasm,1323,714
alu-v3_35.qasm,benchmarking/ibmq/alu-v3_35.qasm,69,24
squar5_261.qasm,benchmarking/ibmq/squar5_261.qasm,2025,1051
4gt4-v0_78.qasm,benchmarking/ibmq/4gt4-v0_78.qasm,267,139
urf2_277.qasm,benchmarking/ibmq/urf2_277.qasm,20144,11392
urf3_155.qasm,benchmarking/ibmq/urf3_155.qasm,423520,229367
4gt13-v1_93.qasm,benchmarking/ibmq/4gt13-v1_93.qasm,100,41
4gt4-v0_73.qasm,benchmarking/ibmq/4gt4-v0_73.qasm,427,229
one-two-three-v0_97.qasm,benchmarking/ibmq/one-two-three-v0_97.qasm,322,165
rd73_252.qasm,benchmarking/ibmq/rd73_252.qasm,5353,2869
rd84_142.qasm,benchmarking/ibmq/rd84_142.qasm,375,112
sym9_193.qasm,benchmarking/ibmq/sym9_193.qasm,34913,19237
4mod7-v1_96.qasm,benchmarking/ibmq/4mod7-v1_96.qasm,196,96
ising_model_16.qasm,benchmarking/ibmq/ising_model_16.qasm,818,73
urf4_187.qasm,benchmarking/ibmq/urf4_187.qasm,512096,264332
4mod5-v1_24.qasm,benchmarking/ibmq/4mod5-v1_24.qasm,68,23
f2_232.qasm,benchmarking/ibmq/f2_232.qasm,1238,670
mod5d1_63.qasm,benchmarking/ibmq/mod5d1_63.qasm,54,15
sym9_146.qasm,benchmarking/ibmq/sym9_146.qasm,360,129
dist_223.qasm,benchmarking/ibmq/dist_223.qasm,38078,19696
alu-v4_36.qasm,benchmarking/ibmq/alu-v4_36.qasm,147,68
sym10_262.qasm,benchmarking/ibmq/sym10_262.qasm,64315,35574
plus63mod4096_163.qasm,benchmarking/ibmq/plus63mod4096_163.qasm,128776,72248
alu-bdd_288.qasm,benchmarking/ibmq/alu-bdd_288.qasm,116,50
ground_state_estimation_10.qasm,benchmarking/ibmq/ground_state_estimation_10.qasm,390212,245616
4gt11_82.qasm,benchmarking/ibmq/4gt11_82.qasm,59,22
4gt5_75.qasm,benchmarking/ibmq/4gt5_75.qasm,115,49
graycode6_47.qasm,benchmarking/ibmq/graycode6_47.qasm,37,7
alu-v2_33.qasm,benchmarking/ibmq/alu-v2_33.qasm,69,24
alu-v2_32.qasm,benchmarking/ibmq/alu-v2_32.qasm,195,94
4gt11_83.qasm,benchmarking/ibmq/4gt11_83.qasm,55,18
hwb8_113.qasm,benchmarking/ibmq/hwb8_113.qasm,69412,38719
qft_16.qasm,benchmarking/ibmq/qft_16.qasm,544,107
plus63mod8192_164.qasm,benchmarking/ibmq/plus63mod8192_164.qasm,187144,105144
decod24-v2_43.qasm,benchmarking/ibmq/decod24-v2_43.qasm,84,32
cnt3-5_180.qasm,benchmarking/ibmq/cnt3-5_180.qasm,517,211
clip_206.qasm,benchmarking/ibmq/clip_206.qasm,33859,17881
sqrt8_260.qasm,benchmarking/ibmq/sqrt8_260.qasm,3041,1661
4gt13_92.qasm,benchmarking/ibmq/4gt13_92.qasm,98,40
cnt3-5_179.qasm,benchmarking/ibmq/cnt3-5_179.qasm,207,63
alu-v4_37.qasm,benchmarking/ibmq/alu-v4_37.qasm,69,24
urf1_278.qasm,benchmarking/ibmq/urf1_278.qasm,54798,30957
ex2_227.qasm,benchmarking/ibmq/ex2_227.qasm,663,357
rd73_140.qasm,benchmarking/ibmq/rd73_140.qasm,262,94
mod5d2_64.qasm,benchmarking/ibmq/mod5d2_64.qasm,85,34
urf6_160.qasm,benchmarking/ibmq/urf6_160.qasm,171872,93647
wim_266.qasm,benchmarking/ibmq/wim_266.qasm,1018,516
co14_215.qasm,benchmarking/ibmq/co14_215.qasm,17968,8572
sym6_145.qasm,benchmarking/ibmq/sym6_145.qasm,3920,2189
rd53_133.qasm,benchmarking/ibmq/rd53_133.qasm,612,329
4gt4-v0_72.qasm,benchmarking/ibmq/4gt4-v0_72.qasm,290,139
